"","x"
"1019","ENST00000375712"
"1020","ENST00000272638"
"1021","ENST00000238789"
"1022","ENST00000423485"
"1023","ENST00000272274"
"1024","ENST00000367097"
"1025","ENST00000443006"
"1026","ENST00000459748"
"1027","ENST00000347230"
"1028","ENST00000368468"
"1029","ENST00000339556"
"1030","ENST00000394518"
"1031","ENST00000269812"
"1032","ENST00000470268"
"1033","ENST00000377791"
"1034","ENST00000493505"
"1035","ENST00000315872"
"1036","ENST00000317089"
"1037","ENST00000503970"
"1038","ENST00000538502"
"1039","ENST00000489532"
"1040","ENST00000262173"
"1041","ENST00000431648"
"1042","ENST00000506797"
"1043","ENST00000431454"
"1044","ENST00000450791"
"1045","ENST00000396912"
"1046","ENST00000341861"
"1047","ENST00000633158"
"1048","ENST00000579649"
"1049","ENST00000530758"
"1050","ENST00000303843"
"1051","ENST00000371627"
"1052","ENST00000473989"
"1053","ENST00000273258"
"1054","ENST00000608382"
"1055","ENST00000373827"
"1056","ENST00000303052"
"1057","ENST00000341421"
"1058","ENST00000619918"
"1059","ENST00000409591"
"1060","ENST00000361462"
"1061","ENST00000295955"
"1062","ENST00000538924"
"1063","ENST00000623535"
"1064","ENST00000568784"
"1065","ENST00000585331"
"1066","ENST00000427738"
"1067","ENST00000382100"
"1068","ENST00000284957"
"1069","ENST00000604952"
"1070","ENST00000544523"
"1071","ENST00000610020"
"1072","ENST00000616515"
"1073","ENST00000431350"
"1074","ENST00000479579"
"1075","ENST00000378930"
"1076","ENST00000579374"
"1077","ENST00000330149"
"1078","ENST00000555516"
"1079","ENST00000377075"
"1080","ENST00000529064"
"1081","ENST00000558583"
"1082","ENST00000497306"
"1083","ENST00000230173"
"1084","ENST00000598098"
"1085","ENST00000454872"
"1086","ENST00000369577"
"1087","ENST00000419968"
"1088","ENST00000341165"
"1089","ENST00000621112"
"1090","ENST00000302418"
"1091","ENST00000433983"
"1092","ENST00000570099"
"1093","ENST00000504787"
"1094","ENST00000438197"
"1095","ENST00000231498"
"1096","ENST00000045083"
"1097","ENST00000479806"
"1098","ENST00000472297"
"1099","ENST00000359028"
"1100","ENST00000413648"
"1101","ENST00000296214"
"1102","ENST00000473336"
"1103","ENST00000519516"
"1104","ENST00000347404"
"1105","ENST00000397386"
"1106","ENST00000331825"
"1107","ENST00000509479"
"1108","ENST00000358691"
"1109","ENST00000450723"
"1110","ENST00000353999"
"1111","ENST00000392321"
"1112","ENST00000614027"
"1113","ENST00000344507"
"1114","ENST00000611155"
"1115","ENST00000311922"
"1116","ENST00000264709"
"1117","ENST00000371065"
"1118","ENST00000261854"
"1119","ENST00000628983"
"1120","ENST00000478396"
"1121","ENST00000357992"
"1122","ENST00000410053"
"1123","ENST00000349777"
"1124","ENST00000618938"
"1125","ENST00000545681"
"1126","ENST00000539231"
"1127","ENST00000405140"
"1128","ENST00000562107"
"1129","ENST00000245680"
"1130","ENST00000492914"
"1131","ENST00000561618"
"1132","ENST00000295770"
"1133","ENST00000326132"
"1134","ENST00000396668"
"1135","ENST00000457749"
"1136","ENST00000361452"
"1137","ENST00000382044"
"1138","ENST00000328933"
"1139","ENST00000264658"
"1140","ENST00000272091"
"1141","ENST00000341119"
"1142","ENST00000347800"
"1143","ENST00000376561"
"1144","ENST00000326291"
"1145","ENST00000267814"
"1146","ENST00000297991"
"1147","ENST00000339647"
"1148","ENST00000342166"
"1149","ENST00000578189"
"1150","ENST00000358491"
"1151","ENST00000278612"
